CO2,RSL
299.7,15.23
315.8,12.92
241.1,9.3
353.8,9.5
264.5,20.65
296.77538769557793,12.92
386.1715844955572,10.27
389.5243651192538,9.48
407.6672285490386,20.65
247.4762533326244,-59.1656888888889
189.87158075057695,-55.2768
222.8956866775346,-80.83235555555555
244.0539206741184,-59.1656888888889
243.06417254220497,-37.49902222222223
231.93419016012376,-54.1656888888889
239.67548027471025,-56.38791111111112
257.1936540800643,-21.943466666666662
267.8358462291337,-18.054577777777787
272.40631642331533,-15.276800000000009
374.3741769473349,39.7232
345.77966254248,10.834311111111106
331.9733255990565,9.723199999999997
298.2588610885008,-7.499022222222223
392.4676215871023,9.723199999999997
224.7525764804224,-11.387911111111116
343.3969023747932,10.21
430.82575656045407,-9.13
390.9719071691863,-3.07
391.5217624857453,-5.37
540.7558227925751,12.54
557.1532880359038,-1.81
602.0431692461684,12.3
711.7217954104254,-1.07
794.5650440342807,-4.07
751.4552697374189,4.12
661.0138425288092,10.73
633.8807019644761,18.33
645.2609979441106,13.88
655.6140882165271,6.94
645.507427640762,9.33
632.8077885929189,12.98
635.5939412326294,17.68
663.070516565864,4.77
595.8534591765898,13.63
654.034515983031,21.42
843.25062313371,39.28
724.702207846522,53.69
768.7567404591076,52.54
783.6617470879551,46.81
903.5193704204198,50.25
981.1326679833152,46.14
777.171515455709,43.62
847.6746678702781,40.6
756.8213261745112,44.06
683.2506524840697,55.74
736.2800810919153,34.58
699.2855565263312,25.44332883163009
871.3775238243296,7.7248597892167155
869.2689215332754,32.892983921424964
1123.543479747015,54.426372772020976
1188.281585895302,64.0
1152.0339490620684,44.18422252339957
938.5155577957056,65.48132177050469
