bankfull_width,bankfull_discharge
12.8016,21.9455561088
11.36904,14.158423296000002
17.16024,25.768330398720003
12.100560000000002,5.040398693376001
33.314640000000004,34.546552842240004
38.46576,82.68519204864002
7.58952,5.380200852480001
10.515600000000001,16.706939489280003
10.088880000000001,11.779808182272001
10.78992,10.986936477696002
4.51104,1.4724760227840001
30.0228,59.18220937728001
21.91512,77.30499119616002
4.7244,1.8122781818880003
5.7912,2.7750509660160003
27.21864,59.46537784320001
6.5532,1.5291097159680003
9.57072,9.372876221952001
4.38912,1.8689118750720002
16.733520000000002,26.051498864640003
6.644640000000001,5.720003011584001
7.74192,3.3980215910400005
12.13104,20.104961080320003
13.99032,3.9360416762880006
6.339840000000001,7.928717045760001
19.17192,15.347730852864002
43.434000000000005,70.50894801408
11.186160000000001,7.928717045760001
15.910560000000002,19.510307301888
4.17576,1.2742580966400001
37.002720000000004,54.65151392256001
8.90016,7.079211648000001
29.687520000000003,45.59012301312001
13.92936,17.839613352960004
4.572,1.0194064773120002
9.4488,9.061390909440002
19.29384,35.39605824
